DATES,BJTM IJ Equity,BKSL IJ Equity
11/07/2012,430,219.807675
12/07/2012,440,219.807675
13/07/2012,445,214.92306
14/07/2012,445,214.92306
15/07/2012,445,214.92306
16/07/2012,450,219.807675
17/07/2012,450,219.807675
18/07/2012,440,214.92306
19/07/2012,435,224.69229
20/07/2012,435,229.576905
21/07/2012,435,229.576905
22/07/2012,435,229.576905
23/07/2012,420,219.807675
24/07/2012,425,214.92306
25/07/2012,435,214.92306
26/07/2012,425,214.92306
27/07/2012,425,219.807675
28/07/2012,425,219.807675
29/07/2012,425,219.807675
30/07/2012,425,210.038445
31/07/2012,425,214.92306
01/08/2012,435,214.92306
02/08/2012,430,210.038445
03/08/2012,425,214.92306
04/08/2012,425,214.92306
05/08/2012,425,214.92306
06/08/2012,420,214.92306
07/08/2012,425,210.038445
08/08/2012,425,210.038445
09/08/2012,425,205.15383
10/08/2012,415,205.15383
11/08/2012,415,205.15383
12/08/2012,415,205.15383
13/08/2012,415,200.269215
14/08/2012,415,200.269215
15/08/2012,415,200.269215
16/08/2012,405,200.269215
17/08/2012,405,200.269215
18/08/2012,405,200.269215
19/08/2012,405,200.269215
20/08/2012,405,200.269215
21/08/2012,405,200.269215
22/08/2012,405,200.269215
23/08/2012,415,200.269215
24/08/2012,410,200.269215
25/08/2012,410,200.269215
26/08/2012,410,200.269215
27/08/2012,410,195.3846
28/08/2012,410,200.269215
29/08/2012,395,195.3846